Food,Nutr. Units / FU,Data Type,Unit,5th pctl,10th pctl,Mean,Median,90th pctl,95 pctl,North America,Latin America,Sub-Saharan Africa,Western Europe,Eastern Europe,Russia,Middle East / North Africa,South Asia,SE Asia,Oceania,World
Rice,3.7,Land Use,m2/FU,1.11,1.11,2.96,2.22,6.29,7.40,,,,,,,,,,,
Potatoes,0.7,Land Use,m2/FU,0.35,0.42,0.84,0.77,1.33,1.61,,,,,,,,,,,
Cassava,1,Land Use,m2/FU,0.70,0.80,1.90,1.40,3.30,3.40,,,,,,,,,,,
Cane Sugar,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Beet Sugar,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Other Pulses,2.1,Land Use,m2/FU,3.99,9.66,15.33,11.97,39.90,42.00,,,,,,,,,,,
Peas,2.2,Land Use,m2/FU,2.20,2.64,7.48,6.60,14.08,20.24,,,,,,,,,,,
Nuts,1.6,Land Use,m2/FU,4.00,4.32,12.64,8.48,25.60,25.60,,,,,,,,,,,
Groundnuts,2.6,Land Use,m2/FU,4.16,4.68,9.10,7.80,15.34,15.34,,,,,,,,,,,
Soymilk,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Tofu,1.6,Land Use,m2/FU,1.60,1.76,3.52,3.36,4.96,5.92,,,,,,,,,,,
Soybean Oil,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Palm Oil,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Sunflower Oil,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Rapeseed Oil,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Olive Oil,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Tomatoes,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Onions & Leeks,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Root Vegetables,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Brassicas,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Other Vegetables,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Citrus Fruit,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Bananas,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Apples,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Berries & Grapes,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Wine,12.5,Land Use,m2/FU,1.25,1.25,1.25,1.25,2.50,3.75,,,,,,,,,,,
Other Fruit,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Coffee,67,Land Use,m2/FU,6.70,6.70,20.10,13.40,40.20,40.20,,,,,,,,,,,
Dark Chocolate,20,Land Use,m2/FU,22.00,34.00,68.00,54.00,124.00,144.00,,,,,,,,,,,
Bovine Meat (Beef herd),2,Land Use,m2/FU,70.00,84.00,328.00,170.00,738.00,912.00,,,,,,,,,,,
Bovine Meat (Dairy herd),2,Land Use,m2/FU,12.40,14.60,44.00,26.00,64.00,108.00,,,,,,,,,,,
Lamb & Mutton,2,Land Use,m2/FU,48.00,60.00,370.00,128.00,442.00,724.00,,,,,,,,,,,
